_x_bin,_y_bin,Center_Lat,Center_Lon,Stations,n_records,CTD_Depths,Start_Times
-20446,10204,45.83408193,-129.7574636,"Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N, Axial Base Shallow Profiler - 500 m NW",138,"[9.768, 9.781, 9.993, 10.09, 10.178, 19.933, 20.06, 29.793, 39.529, 40.248, 49.556, 59.844, 60.1, 60.171, 79.752, 80.69, 99.896, 99.987, 120.097, 139.82, 159.985, 180.217, 180.234, 199.985, 200.029, 219.951, 250.347, 300.088, 300.297, 499.259, 500.003, 751.185, 999.676, 1000.248, 1250.064, 1499.862, 1749.064, 1999.07, 2000.293, 2249.066, 2400.397, 2499.735, 2500.194, 2589.071, 2599.15]","['2015-07-28 08:03:55+00:00', '2015-07-28T08:03:55.000Z', '2021-08-03 01:25:44+00:00', '2021-08-03T01:25:44.000Z', '2022-08-28 17:26:38+00:00', '2022-08-28T17:26:38.000Z', '2023-09-12 23:09:40+00:00', '2023-09-12T23:09:40.000Z']"
-20446,10206,45.84306504,-129.7574636,Axial Base Shallow Profiler - 250 m NW,42,"[-9999999.0, 10.201, 19.93, 40.195, 60.088, 79.984, 99.743, 119.884, 140.057, 160.167, 179.916, 200.234, 220.897]","['2016-07-28 18:24:19+00:00', '2016-07-28T17:33:35.000Z', '2016-07-28T18:05:28.000Z', '2016-07-28T18:24:19.000Z']"
-20445,10200,45.8161157,-129.7511171,Axial Base Junction Box LJ03A,12,[-9999999.0],"['2016-07-12T21:05:00.000Z', '2021-08-04T06:19:00.000Z', '2021-08-04T06:20:00.000Z', '2022-08-29T13:12:29.000Z', '2022-08-29T13:13:00.000Z', '2023-09-13T05:18:09.000Z']"
-20445,10202,45.82509881,-129.7511171,Axial Base Shallow Profiler,41,"[9.895, 19.759, 39.948, 61.538, 81.509, 100.039, 120.734, 140.71, 160.46, 180.741, 200.325, 220.695]","['2024-08-12 01:28:09+00:00', '2024-08-12T01:28:09.000Z']"
-20445,10203,45.82959037,-129.7511171,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E, Axial Base Shallow Profiler, Axial Base Shallow Profiler - 250 m E",63,"[-9999999.0, 9.829, 10.054, 19.973, 39.748, 39.817, 59.905, 59.952, 80.097, 100.5, 118.651, 120.318, 137.242, 140.416, 140.441, 157.012, 160.248, 177.58, 180.554, 200.351, 220.279]","['2015-07-13 19:52:00+00:00', '2015-07-13T19:52:00.000Z', '2017-08-01 08:30:45+00:00', '2017-08-01T07:52:46.000Z', '2017-08-01T08:13:22.000Z', '2017-08-01T08:30:45.000Z', '2019-06-04T20:55:23.000Z']"
-20444,10198,45.80713259,-129.7447706,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",1,[-9999999.0],['2019-06-06T19:16:00.000Z']
-20444,10200,45.8161157,-129.7447706,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",1,[-9999999.0],['2019-06-05T17:09:28.000Z']
-20444,10202,45.82509881,-129.7447706,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E, Axial Base Shallow Profiler",38,"[-9999999.0, 12.474, 19.844, 40.283, 59.943, 80.341, 100.391, 120.346, 139.844, 160.202, 179.58, 200.108, 220.583]","['2019-06-05T23:06:57.000Z', '2022-08-12 19:38:50+00:00', '2022-08-12T19:38:50.000Z']"
-20444,10203,45.82959037,-129.7447706,"Axial Base Deep Profiler - 1000 m E, Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E, Axial Base Shallow Profiler - 500 m E",414,"[-9999999.0, 2.352, 2.579, 2.582, 10.078, 10.276, 10.347, 10.561, 10.905, 10.918, 13.348, 19.72, 20.047, 20.085, 20.13, 20.244, 20.844, 20.874, 20.916, 21.097, 21.46, 23.048, 39.929, 40.182, 40.204, 40.21, 40.45, 40.495, 40.619, 40.7, 40.902, 40.971, 43.34, 45.347, 50.889, 60.063, 60.163, 60.192, 60.21, 60.214, 60.242, 60.375, 60.586, 60.712, 60.714, 63.277, 75.046, 75.371, 75.513, 75.974, 79.815, 79.858, 80.044, 83.273, 99.56, 99.815, 99.95, 99.962, 100.021, 100.05, 100.051, 100.291, 100.353, 100.448, 102.957, 119.761, 119.934, 122.554, 122.616, 139.752, 140.163, 142.753, 159.809, 160.055, 162.529, 179.745, 179.957, 179.964, 180.047, 180.089, 182.57, 199.034, 199.123, 199.658, 199.902, 200.856, 201.205, 202.768, 219.88, 220.111, 220.594, 220.602, 222.25, 249.925, 250.064, 250.348, 250.397, 500.032, 500.224, 500.377, 500.439, 749.752, 750.025, 750.143, 900.174, 900.176, 900.529, 953.817, 998.401, 1000.244, 1250.025, 1497.322, 1499.423, 1500.187, 1500.49, 1503.872, 2000.042, 2001.881, 2002.301, 2249.557, 2399.525, 2399.961, 2500.5, 2502.658, 2599.026, 2599.315, 2599.892, 2599.974, 2599.975, 2601.519, 2601.888, 2602.948, 2603.241]","['2017-07-30 11:01:22+00:00', '2017-07-30T11:01:22.000Z', '2017-08-13 20:01:18+00:00', '2017-08-13T20:01:18.000Z', '2018-07-02 20:59:24+00:00', '2018-07-02T20:59:24.000Z', '2018-07-27 06:21:49+00:00', '2018-07-27T06:21:49.000Z', '2019-06-17 22:27:51+00:00', '2019-06-17T22:27:51.000Z', '2019-07-07 06:22:44+00:00', '2019-07-07 08:17:00+00:00', '2019-07-07T06:22:44.000Z', '2019-07-07T08:17:00.000Z', '2021-08-04 13:48:19+00:00', '2021-08-04T12:32:59.000Z', '2021-08-04T13:48:19.000Z', '2021-09-01 05:03:07+00:00', '2021-09-01T05:03:07.000Z']"
-20444,10204,45.83408193,-129.7447706,Axial Base Shallow Profiler,43,"[10.07, 19.855, 39.944, 60.376, 79.807, 100.284, 119.992, 140.189, 160.347, 179.424, 200.336, 200.532, 219.828, 219.912]","['2023-08-25 11:29:03+00:00', '2023-08-25T11:29:03.000Z']"
-20443,10203,45.82959037,-129.7384241,Axial Base Deep Profiler - 1000 m E,76,"[-9999999.0, 10.129, 10.22, 19.912, 39.703, 50.489, 59.408, 75.301, 79.972, 100.004, 100.519, 119.345, 160.425, 179.712, 199.365, 200.855, 219.92, 500.144, 500.634, 749.687, 1000.703, 1500.748, 2000.381, 2401.04, 2600.169]","['2020-08-08 21:53:32+00:00', '2020-08-08 23:36:18+00:00', '2020-08-08T21:27:56.000Z', '2020-08-08T21:53:32.000Z', '2020-08-08T23:36:18.000Z']"
-19847,9880,44.37881782,-125.9559073,Oregon Offshore Shallow Profiler - 250 m E,42,"[-9999999.0, 9.966, 20.041, 39.639, 60.253, 79.85, 100.02, 120.377, 140.148, 179.713, 200.096, 400.302, 550.124]","['2016-07-19 22:56:39+00:00', '2016-07-19T21:49:40.000Z', '2016-07-19T22:18:46.000Z', '2016-07-19T22:56:39.000Z']"
-19761,9907,44.50008983,-125.4101079,"Slope Base Junction Box LJ01A, Slope Base Shallow Profiler",5,[-9999999.0],"['2024-08-09T12:15:04.482Z', '2024-08-09T12:15:49.367Z', '2024-08-15T03:30:36.149Z', '2024-08-15T03:31:20.644Z']"
-19759,9910,44.5135645,-125.3974148,Slope Base Shallow Profiler,31,"[-9999999.0, 9.878, 30.016, 49.975, 99.984, 250.699, 500.384, 999.986, 1999.884, 2750.597, 2899.332]","['2022-08-21 17:54:01+00:00', '2022-08-21T17:54:01.000Z', '2024-08-10T08:15:39.000Z']"
-19759,9912,44.52254761,-125.3974148,Slope Base Junction Box LJ01A - 250 m SW,2,[-9999999.0],"['2016-07-15T10:49:38.000Z', '2016-07-15T10:52:12.000Z']"
-19759,9913,44.52703917,-125.3974148,"Slope Base Shallow Profiler - 500 m SW, Slope Base Shallow Profiler - 500 m W",122,"[-9999999.0, 9.841, 10.533, 10.721, 12.959, 13.2, 20.161, 22.99, 30.133, 30.161, 39.925, 40.05, 42.396, 42.482, 60.019, 62.311, 80.146, 82.232, 100.173, 102.72, 119.874, 121.544, 139.737, 141.856, 142.452, 159.838, 162.053, 162.401, 180.301, 181.966, 182.197, 200.285, 202.454, 220.186, 222.098, 500.287, 750.283, 1000.04, 1501.214, 2501.535, 2899.439]","['2015-07-16 22:39:54+00:00', '2015-07-16T22:39:54.000Z', '2018-06-26 20:23:04+00:00', '2018-06-26T17:28:57.000Z', '2018-06-26T20:23:04.000Z', '2021-08-06 01:43:57+00:00', '2021-08-06T01:43:57.000Z']"
-19759,9914,44.53153072,-125.3974148,Slope Base Shallow Profiler - 500 m W,43,"[-9999999.0, 14.78, 24.948, 54.517, 104.479, 254.273, 504.776, 1003.265, 1504.104, 2003.655, 2502.764, 2503.273, 2702.467, 2702.606, 2897.936]","['2018-07-10 22:43:40+00:00', '2018-07-10T22:20:30.000Z', '2018-07-10T22:43:40.000Z']"
-19758,9909,44.50907294,-125.3910683,Slope Base Junction Box LJ01A - 500 m S,58,"[10.216, 10.365, 20.238, 20.431, 40.258, 40.461, 51.602, 100.555, 101.577, 250.288, 250.613, 499.605, 1000.757, 1500.262, 1999.768, 2501.449, 2501.783, 2899.968, 2900.118]","['2017-08-03 13:11:04+00:00', '2017-08-03T13:11:04.000Z']"
-19758,9910,44.5135645,-125.3910683,"Slope Base Junction Box LJ01A, Slope Base Junction Box LJ01A - 250 m SW, Slope Base Junction Box LV01A - 100 m SE",61,"[-9999999.0, 49.918, 99.872, 100.194, 149.423, 150.277, 199.451, 199.945, 250.046, 250.432, 499.562, 500.405, 750.078, 750.77, 999.816, 1000.08]","['2015-07-06 15:59:45+00:00', '2015-07-06T15:59:45.000Z', '2016-07-16T02:55:00.000Z', '2019-06-19T05:03:00.000Z', '2021-08-06T18:03:00.000Z', '2021-08-06T18:04:00.000Z', '2022-08-09T08:23:41.000Z', '2023-08-18T04:39:00.000Z']"
-19758,9913,44.52703917,-125.3910683,"Slope Base Shallow Profiler, Slope Base Shallow Profiler - 200 m W, Slope Base Shallow Profiler - 250 m W",332,"[-9999999.0, 10.011, 10.148, 10.301, 10.368, 10.464, 10.556, 11.181, 12.702, 20.024, 20.032, 20.184, 20.26, 20.28, 20.494, 20.627, 20.68, 32.349, 39.759, 39.804, 40.046, 40.076, 40.179, 40.325, 40.365, 40.457, 40.51, 42.298, 42.335, 59.486, 59.668, 59.803, 60.165, 60.238, 60.26, 60.413, 60.53, 60.691, 62.049, 79.783, 79.813, 80.037, 80.335, 80.414, 80.551, 81.152, 82.094, 99.893, 99.966, 100.064, 100.079, 100.112, 100.224, 100.298, 101.201, 101.687, 119.509, 119.588, 120.313, 120.369, 120.463, 121.243, 121.261, 121.612, 121.651, 139.309, 139.713, 139.845, 139.945, 140.325, 140.607, 141.27, 141.639, 157.17, 159.817, 159.862, 159.873, 159.901, 159.948, 160.203, 161.044, 161.376, 179.399, 179.436, 179.527, 179.892, 179.906, 180.221, 180.277, 181.873, 181.927, 199.664, 200.113, 200.126, 200.154, 200.163, 200.42, 200.777, 201.79, 219.602, 219.686, 219.818, 219.869, 219.896, 219.975, 219.993, 220.276, 220.391, 221.05]","['2015-07-07 04:00:12+00:00', '2015-07-07T04:00:12.000Z', '2015-07-16 16:27:35+00:00', '2015-07-16 17:52:10+00:00', '2015-07-16 20:49:00+00:00', '2015-07-16T16:27:35.000Z', '2015-07-16T17:52:10.000Z', '2015-07-16T20:49:00.000Z', '2017-08-17 08:17:13+00:00', '2017-08-17T07:36:34.000Z', '2017-08-17T08:00:53.000Z', '2017-08-17T08:17:13.000Z', '2018-06-24T01:00:02.000Z', '2019-06-14 11:24:21+00:00', '2019-06-14T11:24:21.000Z', '2019-06-27 19:38:18+00:00', '2019-06-27T19:19:43.000Z', '2019-06-27T19:38:18.000Z']"
-19758,9914,44.53153072,-125.3910683,"Slope Base Shallow Profiler, Slope Base Shallow Profiler - 100 m W, Slope Base Shallow Profiler - 250 m W",87,"[-9999999.0, 9.954, 12.596, 12.801, 20.331, 22.365, 40.166, 42.324, 42.518, 59.978, 62.186, 80.016, 82.152, 99.995, 101.928, 120.27, 121.976, 122.041, 140.309, 141.818, 160.191, 162.0, 179.899, 181.97, 182.127, 200.542, 202.017, 221.228, 221.869]","['2018-07-10 20:45:57+00:00', '2018-07-10T19:40:01.000Z', '2018-07-10T20:25:17.000Z', '2018-07-10T20:45:57.000Z', '2023-08-16 22:53:46+00:00', '2023-08-16T22:53:46.000Z']"
-19758,9915,44.53602228,-125.3910683,Slope Base Shallow Profiler - 250 m E,39,"[10.239, 20.947, 40.433, 60.23, 80.164, 100.087, 119.871, 139.787, 160.774, 180.549, 200.628, 221.905]","['2016-07-16 17:14:49+00:00', '2016-07-16T17:14:49.000Z']"
-19757,9912,44.52254761,-125.3847218,Slope Base Shallow Profiler,38,"[11.584, 21.423, 41.348, 61.139, 80.981, 100.4, 120.578, 140.06, 160.382, 180.268, 200.43, 220.465]","['2024-08-09 19:36:49+00:00', '2024-08-09T19:36:49.000Z']"
-19757,9914,44.53153072,-125.3847218,"Slope Base Shallow Profiler, Slope Base Shallow Profiler - 200 m W",49,"[10.101, 19.774, 30.281, 39.887, 60.579, 80.4, 99.658, 120.344, 140.065, 159.799, 180.489, 180.705, 199.896, 200.121, 220.563, 220.658]","['2015-07-16 20:49:00+00:00', '2015-07-16T20:49:00.000Z', '2022-09-15 22:36:55+00:00', '2022-09-15T22:36:55.000Z']"
-19757,9915,44.53602228,-125.3847218,Slope Base Shallow Profiler - 250 m E,42,"[-9999999.0, 10.088, 20.02, 40.07, 59.794, 80.058, 99.548, 120.079, 140.135, 160.264, 179.641, 199.893, 220.178]","['2016-07-18 19:44:35+00:00', '2016-07-18T18:48:12.000Z', '2016-07-18T19:22:29.000Z', '2016-07-18T19:44:35.000Z']"
-19756,9912,44.52254761,-125.3783753,Slope Base Deep Profiler,68,"[9.405, 29.749, 49.991, 100.573, 199.873, 250.406, 300.38, 499.731, 500.506, 749.84, 999.816, 1000.089, 1250.017, 1500.024, 1749.672, 2000.166, 2000.402, 2500.246, 2749.408, 2749.802, 2890.114, 2894.705]","['2022-08-27 07:31:33+00:00', '2022-08-27T07:31:33.000Z', '2023-09-11 19:35:36+00:00', '2023-09-11T19:35:36.000Z']"
-19756,9913,44.52703917,-125.3783753,"Oregon Offshore Deep Profiler, Slope Base Deep Profiler",22,"[-9999999.0, 2597.257, 2697.796, 2797.576, 2889.495]","['2015-07-23 03:11:00+00:00', '2015-07-23T03:11:00.000Z', '2016-08-09T04:28:00.000Z', '2018-07-25T14:21:17.000Z', '2021-08-23T04:20:00.000Z', '2021-08-23T05:11:00.000Z']"
-19756,9914,44.53153072,-125.3783753,Slope Base Deep Profiler,33,"[200.408, 254.854, 499.638, 750.307, 1000.627, 1250.013, 1750.641, 1999.473, 1999.871, 2500.226, 2749.085]","['2024-08-23 09:16:46+00:00', '2024-08-23T09:16:46.000Z']"
-19756,9915,44.53602228,-125.3783753,"Slope Base Shallow Profiler, Slope Base Shallow Profiler - 1300 m NE",88,"[-9999999.0, 10.356, 10.46, 20.225, 20.5, 30.384, 39.894, 50.412, 60.228, 60.759, 80.941, 99.818, 100.019, 119.843, 120.219, 140.554, 161.415, 179.912, 199.979, 200.309, 220.044, 250.171, 299.772, 500.391, 899.938, 1001.314, 1499.968, 1800.71, 2250.082, 2600.153]","['2020-08-03 15:17:41+00:00', '2020-08-03T15:17:41.000Z', '2020-08-11 04:28:22+00:00', '2020-08-11 05:48:08+00:00', '2020-08-11T04:00:14.000Z', '2020-08-11T04:28:22.000Z', '2020-08-11T05:48:08.000Z']"
-19755,9913,44.52703917,-125.3720288,"Slope Base Deep Profiler - 500 m E, Slope Base Deep Profiler - 750 m E",71,"[10.148, 13.658, 33.598, 40.457, 40.642, 53.28, 103.32, 253.393, 503.685, 503.821, 1001.934, 1002.284, 1502.482, 2001.904, 2400.424, 2501.101, 2501.598, 2599.364, 2750.512, 2750.8, 2800.342, 2894.452, 2894.642]","['2015-07-23 06:37:48+00:00', '2015-07-23T06:37:48.000Z', '2018-07-25 17:47:23+00:00', '2018-07-25T17:47:23.000Z']"
-19720,9922,44.56746317,-125.1499012,Southern Hydrate Ridge,2,[-9999999.0],"['2015-07-15T13:08:41.000Z', '2015-07-15T14:02:31.000Z']"
-19720,9923,44.57195473,-125.1499012,Southern Hydrate Ridge,1,[-9999999.0],['2022-08-21T03:22:06.000Z']
-19719,9922,44.56746317,-125.1435547,"Southern Hydrate Ridge, Southern Hydrate Ridge - 90 m E of plume",37,"[-9999999.0, 10.086, 20.028, 49.888, 100.143, 150.342, 200.281, 250.01, 400.083, 500.441, 702.914, 769.564]","['2015-07-17T15:09:53.000Z', '2015-07-17T16:00:17.000Z', '2015-07-17T16:40:04.000Z', '2022-08-21 06:35:11+00:00', '2022-08-21T06:35:11.000Z']"
-19719,9923,44.57195473,-125.1435547,"Southern Hydrate Ridge, Southern Hydrate Ridge - 100 m N of Einstein's Grotto",2,[-9999999.0],"['2020-08-20T20:52:49.000Z', '2023-08-28T06:10:39.000Z']"
-19691,9876,44.3608516,-124.9658525,Oregon Offshore BEP,6,[-9999999.0],"['2024-08-15T19:39:10.708Z', '2024-08-15T19:39:36.208Z', '2024-08-22T09:57:50.328Z', '2024-08-22T09:58:27.368Z']"
-19690,9878,44.36983471,-124.959506,"Oregon Offshore Deep Profiler, Oregon Offshore Deep Profiler - 250 m E, Oregon Offshore Shallow Profiler",143,"[10.034, 10.195, 10.217, 20.046, 20.174, 20.314, 40.21, 41.943, 50.093, 59.606, 61.5, 79.897, 81.245, 99.475, 100.573, 109.898, 120.492, 120.812, 139.622, 139.73, 159.706, 160.169, 180.0, 180.208, 199.504, 199.931, 200.179, 200.267, 219.369, 220.283, 225.029, 250.102, 250.114, 275.168, 300.075, 325.392, 350.04, 350.052, 399.521, 400.131, 450.175, 500.147, 540.006, 550.169, 569.558, 569.943]","['2016-08-07 06:50:42+00:00', '2016-08-07T06:50:42.000Z', '2023-08-15 06:40:20+00:00', '2023-08-15T06:40:20.000Z', '2023-09-09 11:33:18+00:00', '2023-09-09T11:33:18.000Z', '2024-08-09 07:03:31+00:00', '2024-08-09T07:03:31.000Z']"
-19690,9879,44.37432627,-124.959506,"Oregon Offshore Shallow Profiler, Oregon Offshore Shallow Profiler - 250 m W, Oregon Offshore Shallow Profiler - 500 m W",185,"[-9999999.0, 9.638, 10.817, 11.41, 20.238, 20.267, 20.709, 21.108, 21.31, 40.226, 40.497, 40.503, 41.062, 59.769, 60.422, 60.469, 60.995, 80.236, 80.253, 80.757, 80.766, 99.679, 100.251, 100.26, 100.467, 101.277, 119.891, 119.918, 120.036, 120.16, 120.175, 120.491, 139.912, 139.915, 140.403, 140.599, 140.684, 160.082, 160.113, 160.86, 179.621, 180.139, 180.578, 180.911, 199.745, 199.795, 200.725, 200.808, 219.52, 219.741, 220.564, 221.151, 351.71, 399.652, 400.848, 500.681, 550.78, 563.948, 564.037, 575.888]","['2016-07-18T00:29:00.000Z', '2019-06-13 21:38:14+00:00', '2019-06-13T21:38:14.000Z', '2019-06-24 05:30:10+00:00', '2019-06-24T05:30:10.000Z', '2019-06-28 17:31:26+00:00', '2019-06-28T17:14:20.000Z', '2019-06-28T17:31:26.000Z', '2020-08-11 23:39:18+00:00', '2020-08-11T23:18:01.000Z', '2020-08-11T23:39:18.000Z', '2020-08-12 00:49:20+00:00', '2020-08-12T00:49:20.000Z']"
-19689,9877,44.36534315,-124.9531595,"Oregon Offshore Deep Profiler - 250 m SW, Oregon Offshore Deep Profiler - 500 m SW",52,"[-9999999.0, 12.85, 22.838, 52.5, 102.545, 102.961, 152.823, 202.713, 202.775, 252.681, 302.224, 302.372, 402.72, 502.858, 502.867, 552.632, 552.934, 597.36]","['2018-07-23 23:20:04+00:00', '2018-07-23T23:20:04.000Z']"
-19689,9878,44.36983471,-124.9531595,"Oregon Offshore BEP, Oregon Offshore Deep Profiler, Oregon Offshore Deep Profiler - 200 m E",89,"[-9999999.0, 7.059, 7.141, 10.21, 20.596, 20.731, 25.157, 25.181, 39.991, 40.201, 100.625, 190.324, 190.345, 199.956, 299.919, 400.623, 403.488, 450.105, 454.244, 500.252, 501.127, 572.775, 574.788, 576.044, 576.223]","['2015-07-24 22:02:00+00:00', '2015-07-24T22:02:00.000Z', '2015-07-24T23:59:29.000Z', '2015-07-25 00:35:28+00:00', '2015-07-25T00:35:28.000Z', '2015-08-04 00:58:38+00:00', '2015-08-04T00:58:38.000Z', '2017-08-25T23:32:00.000Z', '2018-07-23T02:41:46.000Z', '2019-06-19T13:42:19.000Z', '2022-08-19T19:04:50.000Z', '2023-08-28T22:58:00.000Z']"
-19689,9879,44.37432627,-124.9531595,"Axial Base Shallow Profiler, Oregon Offshore Deep Profiler, Oregon Offshore Shallow Profiler, Oregon Offshore Shallow Profiler - 250 m E, Oregon Offshore Shallow Profiler - 250 m NE, Oregon Offshore Shallow Profiler - 500 m E, Oregon Offshore Shallow Profiler - 600 m E",405,"[-9999999.0, 2.533, 2.712, 7.284, 7.301, 9.738, 9.913, 10.176, 10.214, 12.801, 12.929, 13.016, 13.073, 20.001, 20.049, 20.215, 20.563, 20.596, 22.49, 22.732, 22.768, 22.853, 39.961, 40.093, 40.204, 42.761, 42.767, 42.774, 50.329, 59.564, 60.12, 62.627, 62.76, 62.858, 80.151, 80.152, 80.367, 82.347, 82.471, 83.174, 99.868, 100.076, 100.248, 100.293, 102.252, 102.597, 103.008, 103.087, 119.75, 119.962, 121.541, 121.755, 122.051, 122.575, 123.109, 139.813, 139.92, 139.992, 141.826, 141.867, 141.951, 142.025, 142.679, 149.909, 159.86, 159.98, 161.97, 162.219, 179.814, 179.992, 181.323, 182.11, 182.736, 198.738, 199.699, 199.951, 200.101, 200.214, 200.331, 200.48, 200.609, 200.663, 201.296, 202.269, 202.395, 202.556, 219.763, 221.33, 222.273, 224.998, 249.647, 250.12, 250.411, 250.432, 275.159, 275.453, 275.581, 299.686, 300.321, 300.324, 325.395, 325.781, 350.008, 350.23, 399.431, 399.873, 399.93, 400.25, 400.47, 401.492, 450.034, 450.199, 450.723, 499.719, 500.163, 500.766, 525.285, 525.43, 550.13, 550.224, 550.836, 560.097, 560.268, 560.297, 560.428, 564.772, 567.743, 568.133]","['2015-08-03 00:14:58+00:00', '2015-08-03T00:14:58.000Z', '2017-07-27T23:37:00.000Z', '2017-07-28 19:06:26+00:00', '2017-07-28T19:06:26.000Z', '2017-08-06 08:04:31+00:00', '2017-08-06T07:06:36.000Z', '2017-08-06T07:30:55.000Z', '2017-08-06T07:47:58.000Z', '2017-08-06T08:04:31.000Z', '2018-07-15 04:39:48+00:00', '2018-07-15T04:39:48.000Z', '2018-07-17 22:38:58+00:00', '2018-07-17T22:13:46.000Z', '2018-07-17T22:38:58.000Z', '2021-08-26 09:16:44+00:00', '2021-08-26T09:16:44.000Z', '2022-08-11T00:21:08.000Z', '2022-08-23 10:41:06+00:00', '2022-08-23T10:41:06.000Z', '2023-09-11 06:29:27+00:00', '2023-09-11T06:29:27.000Z', '2023-09-15 15:40:56+00:00', '2023-09-15T15:40:56.000Z', '2024-08-08T22:33:05.079Z', '2024-08-08T22:34:10.609Z', '2024-08-28 03:28:33+00:00', '2024-08-28T03:28:33.000Z']"
-19689,9880,44.37881782,-124.9531595,Oregon Offshore Shallow Profiler,40,"[10.085, 19.965, 39.901, 59.966, 79.881, 99.949, 120.181, 139.754, 140.186, 159.794, 180.202, 200.353, 219.8]","['2022-09-04 03:29:45+00:00', '2022-09-04T03:29:45.000Z']"
-19688,9877,44.36534315,-124.946813,Oregon Offshore Deep Profiler,34,"[10.101, 20.101, 50.199, 100.338, 150.342, 200.383, 249.923, 299.888, 400.115, 549.54, 578.256]","['2022-08-26 13:57:26+00:00', '2022-08-26T13:57:26.000Z']"
